 ,Label,Area,Mean,StdDev,Min,Max,Perim.,Circ.,AR,Round,Solidity
1,,24.802,128.340,31.410,84.000,223.000,21.483,0.675,2.084,0.480,0.957
2,,14.273,133.220,17.410,105.000,182.000,14.106,0.901,1.128,0.887,0.971
3,,14.239,108.603,23.234,74.000,189.000,14.590,0.841,1.500,0.667,0.956
4,,18.297,131.054,22.191,96.000,196.000,16.104,0.887,1.102,0.908,0.967
5,,15.389,122.697,27.984,80.000,189.000,15.766,0.778,1.718,0.582,0.965
6,,13.483,127.366,25.150,87.000,229.000,13.905,0.876,1.342,0.745,0.973
7,,13.055,124.840,21.358,91.000,204.000,13.533,0.896,1.334,0.750,0.957
8,,14.013,133.504,23.654,95.000,210.000,13.982,0.901,1.246,0.803,0.960
9,,19.188,118.449,26.199,81.000,195.000,18.404,0.712,1.707,0.586,0.936
10,,12.209,124.140,28.846,83.000,205.000,13.860,0.799,1.561,0.640,0.946
11,,19.932,111.667,25.042,73.000,200.000,17.366,0.831,1.405,0.712,0.939
12,,17.801,145.569,23.994,101.000,219.000,16.075,0.866,1.193,0.839,0.956
13,,13.337,140.578,17.809,116.000,195.000,15.501,0.697,1.651,0.606,0.922
14,,14.092,122.762,24.225,85.000,194.000,14.848,0.803,1.721,0.581,0.953
15,,17.215,121.781,23.521,81.000,190.000,17.392,0.715,2.292,0.436,0.921
16,,18.410,124.663,25.393,83.000,191.000,19.044,0.638,1.888,0.530,0.958
17,,15.919,124.487,26.243,80.000,192.000,16.129,0.769,1.563,0.640,0.952
18,,15.287,119.415,28.200,78.000,200.000,14.971,0.857,1.607,0.622,0.969
19,,13.078,119.209,22.571,81.000,184.000,15.589,0.676,2.033,0.492,0.964
20,,22.908,127.939,26.691,89.000,214.000,18.451,0.846,1.063,0.941,0.955
